R,G,B,occurence,c_code,c_name
190,240,169,12,#BEF0A9,~palegreen
28,48,0,12,#1C3000,~black
212,228,96,12,#D4E460,~darkkhaki
241,165,165,12,#F1A5A5,~lightpink
255,202,162,12,#FFCAA2,~navajowhite
90,193,164,11,#5AC1A4,~mediumaquamarine
103,172,169,11,#67ACA9,~cadetblue
88,151,169,10,#5897A9,~cadetblue
90,140,67,10,#5A8C43,~olivedrab
14,59,62,10,#0E3B3E,~darkslategray
79,201,212,10,#4FC9D4,~mediumturquoise
86,151,109,9,#56976D,~mediumseagreen
182,165,87,9,#B6A557,~darkkhaki
117,95,133,8,#755F85,~dimgray
122,194,216,8,#7AC2D8,~skyblue
49,67,9,8,#314309,~darkgreen
236,238,191,7,#ECEEBF,~wheat
207,236,128,7,#CFEC80,~khaki
118,133,48,7,#768530,~olivedrab
164,173,54,7,#A4AD36,~yellowgreen
143,89,25,7,#8F5919,~saddlebrown
165,184,217,7,#A5B8D9,~lightsteelblue
219,150,91,7,#DB965B,~sandybrown
123,65,64,7,#7B4140,~sienna
212,135,155,6,#D4879B,~palevioletred
62,123,82,6,#3E7B52,~seagreen
125,186,65,6,#7DBA41,~yellowgreen
204,202,89,6,#CCCA59,~darkkhaki
162,113,160,6,#A271A0,~rosybrown
3,61,37,6,#033D25,~darkgreen
122,58,33,6,#7A3A21,~saddlebrown
87,176,130,5,#57B082,~mediumseagreen
176,177,111,5,#B0B16F,~darkkhaki
201,138,59,5,#C98A3B,~peru
81,55,120,4,#513778,~darkslateblue
155,132,184,4,#9B84B8,~mediumpurple
220,215,247,4,#DCD7F7,~lavender
168,209,107,4,#A8D16B,~darkkhaki
131,146,167,4,#8392A7,~lightslategray
207,254,160,4,#CFFEA0,~palegoldenrod
65,98,17,4,#416211,~darkolivegreen
146,210,134,4,#92D286,~darkseagreen
27,61,106,4,#1B3D6A,~midnightblue
153,104,110,4,#99686E,~gray
150,210,176,4,#96D2B0,~darkseagreen
168,240,190,4,#A8F0BE,~palegreen
114,115,47,3,#72732F,~darkolivegreen
196,255,249,3,#C4FFF9,~lightcyan
86,57,1,3,#563901,~saddlebrown
203,158,191,3,#CB9EBF,~plum
239,255,160,2,#EFFFA0,~palegoldenrod
111,151,98,2,#6F9762,~gray
237,177,89,2,#EDB159,~sandybrown
192,153,78,2,#C0994E,~peru
111,117,167,2,#6F75A7,~lightslategray
169,94,75,2,#A95E4B,~sienna
81,35,45,2,#51232D,~darkslategray
77,68,1,2,#4D4401,~darkolivegreen
54,19,39,2,#361327,~black
81,166,143,1,#51A68F,~cadetblue
166,238,139,1,#A6EE8B,~lightgreen
227,231,120,1,#E3E778,~khaki
136,193,140,1,#88C18C,~darkseagreen
101,121,156,1,#65799C,~slategray
179,171,222,1,#B3ABDE,~lightsteelblue
252,160,137,1,#FCA089,~lightsalmon
63,2,0,1,#3F0200,~black
31,7,33,1,#1F0721,~black
65,46,92,1,#412E5C,~darkslategray
89,52,69,1,#593445,~darkslategray
2,9,61,1,#02093D,~midnightblue
146,168,121,1,#92A879,~darkseagreen
188,196,58,1,#BCC43A,~yellowgreen
206,253,201,1,#CEFDC9,~gainsboro
231,187,222,1,#E7BBDE,~thistle
